"Y","X1","X2","A","B","group"
1,5.36074050863214,1.71552689623705,0,0,1
0,0.19645968824625,1.73080240930718,0,1,1
0,0.484624286182225,1.76954643709432,1,1,1
0,0.80129765253514,1.71552689623705,0,1,1
0,2.14266293860021,1.77215816073535,1,1,1
0,1.28610167745501,1.71552689623705,0,1,1
0,0.438696618191898,1.71552689623705,1,1,1
0,2.63136889777126,1.8265782832349,0,0,1
1,1.91894567563179,1.71552689623705,0,1,1
0,2.9756516259787,1.72201647951008,0,1,1
0,0.657373931258917,1.71552689623705,1,1,1
0,3.00099034360722,1.71552689623705,1,1,1
0,4.00230676664,0.979060759542729,0,1,2
0,2.49610210760477,0.979060759542729,1,1,2
0,1.650669548013,1.01416313177443,1,1,2
1,0.694217049033656,1.06049744428133,0,1,2
0,0.203702883092501,0.979060759542729,0,0,2
0,3.65664888156538,0.979060759542729,1,1,2
0,0.531574863009155,1.09875113557437,0,0,2
0,1.74508988118977,1.05134827796584,1,1,2
0,1.19474780373275,0.992950313639151,1,1,2
0,1.86707784972134,0.979060759542729,1,1,2
0,1.62674842393937,0.979060759542729,1,1,2
1,5.88691698725438,0.532121038383542,0,0,3
0,0.925337558612227,0.590556534928122,0,1,3
0,9.35239038566008,0.544366786197379,1,1,3
1,0.191314104808315,0.532121038383542,1,1,3
1,0.896375169977546,0.532121038383542,0,0,3
0,1.54033919333606,0.576005010723282,1,1,3
0,5.54319446881242,0.532121038383542,0,0,3
0,0.430046295747161,0.532121038383542,1,1,3
0,1.24160184618086,0.532121038383542,1,1,3
1,0.0536874592492519,0.551453039401338,0,0,3
0,0.456708097997824,0.574694823976438,0,1,3
1,0.0141890938850215,0.810600622009439,0,1,4
1,3.31049927679782,0.770174550943396,0,1,4
0,0.662050476283173,0.809814905773569,0,1,4
0,0.587375531283146,0.770174550943396,0,0,4
0,2.29714735030177,0.819205562407183,0,1,4
1,0.200724928639829,0.787277190874435,1,1,4
0,0.166490640728409,0.816402716584393,0,1,4
0,1.58089000427456,0.770174550943396,0,1,4
1,0.43983952794224,0.786918040320358,0,0,4
1,2.35946782856228,0.770174550943396,1,1,4
0,4.46597206939883,0.770174550943396,1,1,4
0,2.84125887585764,0.770174550943396,1,1,4
0,0.541646763673688,0.819841980422023,0,1,4
0,1.79256982161644,0.770174550943396,1,1,4
0,1.28800607472658,0.84780234110072,0,0,4
1,0.991520991051352,0.770174550943396,0,0,4
0,1.76527131526711,1.25487249211916,0,1,5
0,1.70935411556604,1.34220045409535,1,1,5
1,0.407240711333658,1.25487249211916,1,1,5
0,0.119879556819797,1.30835675637243,0,0,5
0,3.06727528184147,1.25487249211916,0,0,5
1,1.53979258044603,1.25623456802191,0,1,5
0,0.338349281810224,1.26129165556017,0,1,5
1,0.334397473429465,1.25487249211916,0,1,5
0,2.38828060767593,1.25487249211916,0,0,5
